t,mo_x,mo_y,mo_yaw,ob_x,ob_y,ob_yaw
528.5,0.0057,0.0053,0.0135,-0.0796,0.0009,-2.7353
529.0,0.0057,0.0053,0.0135,-0.0796,0.0009,-2.7353
529.5,0.0057,0.0053,0.0135,-0.0796,0.0009,-2.7353
530.0,0.0057,0.0053,0.0135,-0.0796,0.0009,-2.7353
530.5,0.0057,0.0053,0.0135,-0.0796,0.0009,-2.7353
531.0,0.0057,0.0053,0.0135,-0.0796,0.0009,-2.7353
531.5,0.0057,0.0053,0.0135,-0.1483,-0.125,-2.739
532.0,-0.0035,0.0311,0.0164,-0.2631,-0.3119,-2.7461
532.5,0.0057,0.0423,0.0149,-0.3735,-0.4844,-2.7734
533.01,-0.0103,0.0604,0.0188,-0.498,-0.6649,-2.8246
533.5,-0.0063,0.0651,0.0199,-0.6358,-0.8355,-2.9168
534.0,-0.0015,0.0554,0.0293,-0.7779,-0.9805,-3.0296
534.5,0.0035,0.0442,0.0325,-0.9491,-1.1173,3.1354
535.0,0.0207,0.0521,0.0275,-1.1349,-1.2338,3.0387
535.5,0.0177,0.0623,0.0288,-1.3281,-1.3377,2.9946
536.0,0.0625,0.032,0.0014,-1.5116,-1.4284,2.9698
536.5,0.0693,0.0202,-0.018,-1.7097,-1.5227,2.9645
537.0,0.0415,0.0354,-0.0076,-1.902,-1.6025,3.0002
537.5,0.0424,0.0293,-0.0061,-2.0383,-1.6327,-3.0789
538.0,0.0608,-0.0068,-0.0197,-2.1478,-1.6504,-2.833
538.5,0.064,-0.001,-0.0265,-2.2273,-1.6872,-2.6604
539.0,0.0847,-0.0402,-0.0399,-2.28,-1.7251,-2.5188
539.5,0.063,-0.0125,-0.0219,-2.2892,-1.7262,-2.2079
540.0,0.0465,0.0425,-0.0025,-2.2892,-1.7262,-1.629
540.5,0.0447,0.0128,-0.0011,-2.2892,-1.7262,-1.1806
541.0,0.0519,-0.007,-0.0035,-2.2892,-1.7262,-0.8699
541.5,0.0546,-0.0051,-0.0123,-2.2892,-1.7262,-0.6265
542.0,0.0608,-0.0052,-0.0146,-2.2892,-1.7262,-0.4427
542.5,0.0691,-0.0286,-0.0212,-2.2892,-1.7262,-0.3285
543.0,0.0691,-0.0286,-0.0212,-2.2892,-1.7262,-0.2168
543.5,0.079,-0.0374,-0.0248,-2.1509,-1.6558,-0.1784
544.0,0.0628,-0.0296,-0.0199,-1.9558,-1.5577,-0.1376
544.5,0.0465,0.0105,-0.0124,-1.7743,-1.4629,-0.1481
545.01,0.0328,0.0532,0.0026,-1.5781,-1.3649,-0.164
